Product Name,Price,Rating,Seller Name
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"Portronics Luxcell Mini 10K Advanced 10000 mAh Nano Power Bank with 22.5W Max Output, LED Indicator, Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Black)","1,048.",4.1 out of 5 stars,Visit the Portronics Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Lapcare Trust-1 Wireless 10000 mAh Fast Charging PD Power Bank | Strong Magnetic Hold | Magsafe Compatible for iPhone 12 & Above | 15w Wireless & 20w with Type-C Fast Charging | LED Indicator,"1,299.",4.3 out of 5 stars,Visit the Lapcare Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"Portronics Luxcell Mini 20K Advanced 20000 mAh Smallest Power Bank with 22.5W Max Output, LED Indicator, Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Black)","1,449.",4.2 out of 5 stars,Visit the Portronics Store
N/A,N/A,N/A,N/A
GadgetBite Silicon Soft Cover Case for Mi Power Bank 3i 20000 mAh Battery [Power Bank NOT Included]-Black,259.,4.5 out of 5 stars,Visit the GadgetBite Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"Kratos PowerBank 10000 mAh 22.5W Fast Charging, 3 Output - 2 USB & 1 Type C Output,Power Delivery, BIS Certified, Made in India, Power Bank Compatible for Smartphons, Tablets and Other Gadgets",699.,5.0 out of 5 stars,Visit the Kratos Store
N/A,N/A,N/A,N/A
"Ambrane 20000mAh Powerbank, 22.5W Fast Charging, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 20, Blue)","1,498.",3.3 out of 5 stars,Visit the Ambrane Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"FLiX(Beetel) UltraCharge 20,000mAh QCPD Power Bank,USB C/B Input,Tripple Output 22.5W High-Speed Power Delivery,Compatible to iPhone 14 13 12 11 Samsung S22 S23 Google Pixel7 Oneplus (P25-Blue)",799.,3.3 out of 5 stars,Visit the FLiX Store
N/A,N/A,N/A,N/A
"Portronics Luxcell B 10K 10000 mAh 22.5W Fast Charging Power Bank, Ultra Slim Power Bank with Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Dark Grey)",789.,3.9 out of 5 stars,Visit the Portronics Store
URBN 10000 mAh Stand Magsafe Power Bank with Foldable Stand | 15W Fast Wireless Charging | Strong Magnetic Hold | Type C Input/Output | Pass Through Charging | MagTag Ring Included | (Pink),"1,399.",4.3 out of 5 stars,Visit the URBN Store
"Ambrane 10000mAh MagSafe Wireless Fast Charging Power Bank, Compact, 20W PD Output, Portable Charger for iPhone 16 15 14 13 12 & Android, Metallic Body, Travel-Friendly (Aerosync PB Prime, Titanium)","1,899.",3.8 out of 5 stars,Visit the Ambrane Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"Ambrane 4 in 1 Wireless Charging 10000mAh Power Bank 15W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Aerosync Quad, Black)","1,499.",3.0 out of 5 stars,Visit the Ambrane Store
N/A,N/A,N/A,N/A
"Spigen ArcPack 10000mAh Power Bank with Built-in USB-C Cable,30.0W Fast Charging, 1 USB-C Cable, 1 USB-C Port, 1 USB-A Port - (ABS + PC | Black)","2,659.",4.2 out of 5 stars,Visit the Spigen Store
N/A,N/A,N/A,N/A
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Green)",898.,3.6 out of 5 stars,Visit the Ambrane Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Blue)",899.,3.3 out of 5 stars,Visit the Ambrane Store
"Portronics Boosty 5k 5000mAh 15W Wireless Magnetic Fast Charging Nano Powerbank, Metallic Finish, 20W Type C PD Output, Light Weight, Compatible with iPhone 12 Above, Other Qi Enabled Devices","1,999.",3.3 out of 5 stars,Visit the Portronics Store
"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(Burgundy)","1,198.",4.0 out of 5 stars,Visit the boAt Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Amazon Basics 20000 mAh Power Bank | Fast Charging | Dual Output USB-A Ports | Dual Input (Black),919.,3.5 out of 5 stars,Visit the amazon basics Store
N/A,N/A,N/A,N/A
"FLiX(Beetel) UltraCharge 20,000mAh QCPD Power Bank,USB C/B Input,Tripple output 22.5W High-Speed Power Delivery,Compatible to iPhone 14 13 12 11 Samsung S22 S23 Google Pixel7 Oneplus(P25- Olive Green)",990.,3.4 out of 5 stars,Visit the FLiX Store
N/A,N/A,N/A,N/A
"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, Wireless Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(Steel Blue)","1,199.",4.0 out of 5 stars,Visit the boAt Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"Ambrane 20000mAh Powerbank, 22.5W Fast Charging, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 20, Green)","1,499.",3.6 out of 5 stars,Visit the Ambrane Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"Portronics Luxcell Mini 10K Advanced 10000 mAh Nano Power Bank with 22.5W Max Output, LED Indicator, Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Green)","1,048.",4.1 out of 5 stars,Visit the Portronics Store
"ZEBRONICS Mb10000S11 Power Bank, 10000 Mah, Rapid Charge, 20W Output, Dual USB Output, Pd 3.0 Type C, Built in Protections, Tablets Led Indicator, Made in India (Black)",599.,3.4 out of 5 stars,Visit the ZEBRONICS Store
"HEYMIX TECH Power Bank 20000mah Fast Charging - 22.5W Powerbank Portable Charger, USB C Fast Charging Battery Pack Compatible with iPhone 15/14/13, Samsung S24, S23, iPad, Pixel","1,499.",4.1 out of 5 stars,Brand: HEYMIX TECH
"Stuffcool Mega II Compact 10,000mAh 30W PD, 33W PPS Powerbank with Samsung Super Fast Charging, Charges iPhones & Pixels 50% in 30 Mins, Universal Fast Charging for Oppo, OnePlus, Realme - Green","1,398.",3.9 out of 5 stars,Visit the Stuffcool Store
N/A,N/A,N/A,N/A
"Anker MagGo Power Bank, Qi2 Certified 15W Ultra-Fast MagSafe-Compatible Portable Charger, 10,000mAh Battery Pack with Smart Display and Foldable Stand, For iPhone 15/14/13/12 Only(USB-C Cable Include)","7,499.",4.4 out of 5 stars,Visit the Anker Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"DR VAKU® 10000mAh Magnetic Wireless Power Bank for iPhone 16/15/14/13/12 Series, iWatch & Airpods 20w PD 15w Wireless Charging (Input & Output) Lithium Polymer Battery- Black","2,999.",4.3 out of 5 stars,Visit the DR VAKU Store
N/A,N/A,N/A,N/A
"Spigen ArcPack 20000mAh Power Bank | PD 3.0, PPS Fast Carging | 30W Max Output | 2 Type-C Ports, 1 USB-A Port - (ABS + PC | Black)","2,609.",4.1 out of 5 stars,Visit the Spigen Store
N/A,N/A,N/A,N/A
"Anker Power Bank Battery Pack, 20,000mAh 22.5W High Speed Charging Portable Charger with Built-in USB C Cable, 1 USB-C, 1 USB-A, for iPhone 15/15 Plus/15 Pro/15 Pro Max, MacBook, Galaxy","4,699.",4.4 out of 5 stars,Visit the Anker Store
N/A,N/A,N/A,N/A
URBN 20000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C & Micro Input Only | Pocket Size | Made in India (Blue),"1,598.",3.7 out of 5 stars,Visit the URBN Store
"ZEBRONICS MB10000S13 Power Bank, 10000 mAh, Rapid Charge, 22.5W Output, Dual USB Output, PD 3.0 Type C, Built in Protections, Percentage Indicator, Made in India (Black)",799.,3.9 out of 5 stars,Visit the ZEBRONICS Store
"Portronics Luxcell B12 10,000mAh 12W Power Bank, Ultra Slim Power Bank with USB-A Output Port & Dual Input Ports (Micro & Type C) | BIS Certified |Type C Cable Included|Made in India(Dark Blue)",618.,3.6 out of 5 stars,Visit the Portronics Store
N/A,N/A,N/A,N/A
"Callmate 30000mAh High Capacity Power Bank, 15W Fast Charging | Digital Display | 2 USB Output Ports and 2 Input | LED Torch| Multi-Layer Protection for iPhone & Smartphones (Black, Lithium Polymer)","1,499.",3.3 out of 5 stars,Visit the CALL MATE Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"Ambrane 5000mAh Mini MagSafe Wireless Power Bank | 15W Fast Charging | Strong Magnetic Hold | Ultra-Slim | 20W Wired Charging | Compatible with iPhone 15, 14, 13, 12 Series (Aerosync PB5, Green)","1,499.",3.2 out of 5 stars,Visit the Ambrane Store
N/A,N/A,N/A,N/A
"Loony 10000mAh Magnetic Wireless Power Bank (2in1 Charge with USB-C Cable + Wireless) with Step Stand for Smartphones (iPhone,Samsung)/ Earphones (Airpod), iOS/Android Devices-(White)",999.,3.2 out of 5 stars,Visit the Loony Store
LAPCARE Tanker 30000mAh Powerbank I Metallic Body | 4X USB & 22.5w QC PD3.0 Type-c Fast Charging with Dual Attached Cable for iPhone and Android Devices | Multi Layer Protection | Made in India,"2,299.",3.5 out of 5 stars,Visit the Lapcare Store
"DR VAKU® 10000mAh Power Bank Clear Bolt Portable 20W PD QC Fast Charging Dual USB Port (Input & Output) Lithium Polymer Battery Power Bank for iPhone,Samsung & Android Devices with SOS Led Light Torch","1,399.",4.1 out of 5 stars,Visit the DR VAKU Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"ZEBRONICS 20000 mAh Power Bank, 35W Fast Charging PD3.0, Output (2 Type C & 1 USB), for iPhone, Android, Tablets & Other Devices, Slim Metal Body, Flight Friendly, Type C Cable (EnergiPOD 20R1, Blue)","1,799.",4.4 out of 5 stars,Visit the ZEBRONICS Store
N/A,N/A,N/A,N/A
"Lifelong Boost 10000 mAh Fast 33 W Cable Included Compact Size Power Bank with 2 Input/Output Port (Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds, Smartwatch, Speaker, Tablet)","1,499.",4.0 out of 5 stars,Visit the Lifelong Store
N/A,N/A,N/A,N/A
"Belkin 20000mAh Power Bank Fast Charging, USB-C Power Delivery Portable Charger with 30W USB-C and 12W USB-A Ports, 20K Travel Battery Pack for MacBook, iPad, iPhone, Galaxy, Pixel and More – Black","5,999.",4.4 out of 5 stars,Visit the Belkin Store
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
